Date,Order_Count,Total_Revenue
2023-01-31,47,56685.75
2023-02-28,37,40117.659999999996
2023-03-31,43,48609.37
2023-04-30,31,27751.71
2023-05-31,49,63836.840000000004
2023-06-30,45,49500.19
2023-07-31,44,42820.659999999996
2023-08-31,51,54352.14
2023-09-30,29,29526.67
2023-10-31,47,52607.85
2023-11-30,41,43079.67
2023-12-31,46,43754.73
2024-01-31,32,38528.08
2024-02-29,32,36909.57
2024-03-31,36,36030.9
2024-04-30,50,49613.14
2024-05-31,34,27909.11
2024-06-30,53,68068.54000000001
2024-07-31,43,42963.98
2024-08-31,28,31991.07
2024-09-30,44,39794.98
2024-10-31,31,37226.97
2024-11-30,35,32413.76
2024-12-31,41,38785.77
2025-01-31,27,29099.4
2025-02-28,37,35317.55
2025-03-31,49,39200.66
2025-04-30,32,31821.2
2025-05-31,37,43396.64
2025-06-30,49,53047.4
